id,affectedbywaitstop,arrivaldeparturetime,directionid,predictedtime,predictionaccuracymsecs,predictionreadtime,predictionsource,routeid,routeshortname,stopid,tripid,vehicleid,horizon,error,date,Color indicator,horizon seconds
248246,FALSE,11/07/17 13:37,1,11/07/17 13:34,191619,11/07/17 13:10,Transitime,2,2,4648,278257,1017,00:26:51,3,11/07/17,100,1611
251016,FALSE,11/07/17 13:45,0,11/07/17 13:44,86706,11/07/17 13:32,Transitime,2,2,438,278210,1508,00:13:09,1,11/07/17,100,789
195596,FALSE,11/07/17 12:02,1,11/07/17 12:01,73227,11/07/17 11:44,Transitime,2,2,517,278260,1008,00:18:18,1,11/07/17,100,1098
195597,FALSE,11/07/17 12:00,1,11/07/17 11:57,173214,11/07/17 11:30,Transitime,2,2,513,278260,1008,00:29:55,3,11/07/17,100,1795
251018,FALSE,11/07/17 13:45,0,11/07/17 13:44,72967,11/07/17 13:32,Transitime,2,2,439,278210,1508,00:13:11,1,11/07/17,100,791
195899,FALSE,11/07/17 12:02,0,11/07/17 12:02,35301,11/07/17 11:53,Transitime,2,2,469,278214,1508,00:09:08,1,11/07/17,100,548
197476,TRUE,11/07/17 12:04,0,11/07/17 12:05,-45943,11/07/17 11:57,Transitime,2,2,418,278213,1017,00:06:44,-1,11/07/17,100,404
197477,FALSE,11/07/17 12:04,0,11/07/17 12:07,-155843,11/07/17 12:02,Transitime,2,2,7616,278213,1017,00:02:34,-3,11/07/17,100,154
378595,FALSE,13/07/17 12:04,1,13/07/17 12:07,-152464,13/07/17 11:50,Transitime,2,2,525,278260,1518,00:14:51,-3,13/07/17,300,891
198993,FALSE,11/07/17 12:07,1,11/07/17 12:17,-618753,11/07/17 12:02,Transitime,2,2,479,278259,2603,00:05:04,-10,11/07/17,100,304
254723,FALSE,11/07/17 13:51,0,11/07/17 13:50,66077,11/07/17 13:40,Transitime,2,2,454,278210,1508,00:10:37,1,11/07/17,100,637
382029,FALSE,13/07/17 12:11,1,13/07/17 12:14,-209702,13/07/17 11:58,Transitime,2,2,4648,278260,1518,00:12:58,-3,13/07/17,300,778
199261,TRUE,11/07/17 12:07,0,11/07/17 12:08,-13708,11/07/17 11:44,Transitime,2,2,7617,278213,1017,00:23:30,0,11/07/17,100,1410
199262,TRUE,11/07/17 12:08,0,11/07/17 12:09,-73355,11/07/17 11:57,Transitime,2,2,429,278213,1017,00:10:10,-1,11/07/17,100,610
199263,FALSE,11/07/17 12:08,0,11/07/17 12:11,-177630,11/07/17 12:02,Transitime,2,2,429,278213,1017,00:05:57,-3,11/07/17,100,357
199639,FALSE,11/07/17 12:05,1,11/07/17 12:01,271710,11/07/17 11:35,Transitime,2,2,518,278260,1008,00:30:05,5,11/07/17,100,1805
199640,FALSE,11/07/17 12:05,1,11/07/17 12:02,187842,11/07/17 11:57,Transitime,2,2,518,278260,1008,00:07:46,3,11/07/17,100,466
199641,FALSE,11/07/17 12:09,1,11/07/17 12:04,279561,11/07/17 11:35,Transitime,2,2,523,278260,1008,00:33:43,5,11/07/17,100,2023
199642,FALSE,11/07/17 12:09,1,11/07/17 12:04,274449,11/07/17 11:39,Transitime,2,2,523,278260,1008,00:29:19,5,11/07/17,100,1759
199643,FALSE,11/07/17 12:09,1,11/07/17 12:06,164690,11/07/17 11:53,Transitime,2,2,523,278260,1008,00:15:46,3,11/07/17,100,946
199644,FALSE,11/07/17 12:09,1,11/07/17 12:05,265259,11/07/17 11:35,Transitime,2,2,524,278260,1008,00:33:52,4,11/07/17,100,2032
260180,FALSE,11/07/17 13:58,1,11/07/17 13:58,-16505,11/07/17 13:53,Transitime,2,2,508,278256,1008,00:04:42,0,11/07/17,100,282
200605,TRUE,11/07/17 12:11,0,11/07/17 12:10,93249,11/07/17 11:48,Transitime,2,2,4481,278213,1017,00:22:42,2,11/07/17,100,1362
269383,FALSE,12/07/17 10:32,1,12/07/17 10:33,-13616,12/07/17 10:08,Transitime,2,2,525,278263,1017,00:24:25,0,12/07/17,200,1465
200846,FALSE,11/07/17 12:11,1,11/07/17 12:14,-133626,11/07/17 11:44,Transitime,2,2,529,278260,1008,00:27:26,-2,11/07/17,100,1646
200847,FALSE,11/07/17 12:11,1,11/07/17 12:12,-44647,11/07/17 12:06,Transitime,2,2,528,278260,1008,00:04:58,-1,11/07/17,100,298
201256,FALSE,11/07/17 12:10,1,11/07/17 12:21,-626533,11/07/17 12:02,Transitime,2,2,485,278259,2603,00:08:32,-10,11/07/17,100,512
271859,FALSE,,1,12/07/17 10:34,0,12/07/17 10:20,Transitime,2,2,529,278263,1017,13:39:18,0,30/12/99,Err:502,-3709016442
201277,FALSE,11/07/17 12:11,1,11/07/17 12:11,-42001,11/07/17 12:06,Transitime,2,2,487,278259,2603,00:04:53,-1,11/07/17,100,293
201554,TRUE,11/07/17 12:11,0,11/07/17 12:10,89332,11/07/17 11:48,Transitime,2,2,433,278213,1017,00:22:53,1,11/07/17,100,1373
201555,TRUE,11/07/17 12:11,0,11/07/17 12:12,-36043,11/07/17 11:53,Transitime,2,2,433,278213,1017,00:18:18,-1,11/07/17,100,1098
201556,FALSE,11/07/17 12:11,0,11/07/17 12:09,163995,11/07/17 12:06,Transitime,2,2,433,278213,1017,00:05:28,3,11/07/17,100,328
201557,FALSE,11/07/17 12:13,0,11/07/17 12:13,-34229,11/07/17 12:02,Transitime,2,2,436,278213,1017,00:10:55,-1,11/07/17,100,655
201558,TRUE,11/07/17 12:12,0,11/07/17 12:11,80774,11/07/17 11:57,Transitime,2,2,435,278213,1017,00:14:44,1,11/07/17,100,884
274971,TRUE,12/07/17 11:00,0,12/07/17 11:01,-60901,12/07/17 10:46,Transitime,2,2,4444,278215,1017,00:14:32,-1,12/07/17,200,872
201843,FALSE,11/07/17 12:12,0,11/07/17 12:08,204575,11/07/17 11:53,Transitime,2,2,6901,278214,1508,00:18:46,3,11/07/17,100,1126
276691,TRUE,12/07/17 11:05,0,12/07/17 11:09,-194096,12/07/17 10:42,Transitime,2,2,420,278215,1017,00:23:44,-3,12/07/17,200,1424
202580,FALSE,11/07/17 12:13,1,11/07/17 12:14,-54098,11/07/17 12:10,Transitime,2,2,7619,278260,1008,00:02:37,-1,11/07/17,100,157
