id,affectedbywaitstop,arrivaldeparturetime,directionid,predictedtime,predictionaccuracymsecs,predictionreadtime,predictionsource,routeid,routeshortname,stopid,tripid,vehicleid,horizon,error,date,Color indicator,horizon seconds
380197,FALSE,13/07/17 12:07,0,13/07/17 12:07,43680,13/07/17 12:02,Transitime,2,2,7616,278213,1522,00:05:23,1,13/07/17,300,323
380478,FALSE,13/07/17 12:07,0,13/07/17 11:59,463231,13/07/17 11:46,Transitime,2,2,4027,278214,2403,00:21:10,8,13/07/17,300,1270
380657,FALSE,13/07/17 12:05,1,13/07/17 12:06,-60671,13/07/17 11:46,Transitime,2,2,7852,278260,1518,00:19:13,-1,13/07/17,300,1153
380658,FALSE,13/07/17 12:09,1,13/07/17 12:08,33567,13/07/17 11:41,Transitime,2,2,7619,278260,1518,00:27:23,1,13/07/17,300,1643
380659,FALSE,13/07/17 12:06,1,13/07/17 12:06,49100,13/07/17 11:41,Transitime,2,2,528,278260,1518,00:25:08,1,13/07/17,300,1508
380660,FALSE,13/07/17 12:06,1,13/07/17 12:09,-126161,13/07/17 11:50,Transitime,2,2,528,278260,1518,00:16:51,-2,13/07/17,300,1011
380661,FALSE,13/07/17 12:06,1,13/07/17 12:09,-135647,13/07/17 11:54,Transitime,2,2,528,278260,1518,00:12:44,-2,13/07/17,300,764
380662,FALSE,13/07/17 12:06,1,13/07/17 12:05,117176,13/07/17 12:02,Transitime,2,2,528,278260,1518,00:04:22,2,13/07/17,300,262
381258,FALSE,13/07/17 12:10,0,13/07/17 12:04,336901,13/07/17 11:50,Transitime,2,2,4486,278214,2403,00:20:15,6,13/07/17,300,1215
381892,FALSE,13/07/17 12:11,1,13/07/17 12:11,-6968,13/07/17 12:08,Transitime,2,2,4648,278260,1518,00:03:16,0,13/07/17,300,196
381893,FALSE,13/07/17 12:10,1,13/07/17 12:06,237950,13/07/17 11:37,Transitime,2,2,7611,278260,1518,00:33:01,4,13/07/17,300,1981
381894,FALSE,13/07/17 12:10,1,13/07/17 12:09,47812,13/07/17 11:41,Transitime,2,2,7611,278260,1518,00:28:52,1,13/07/17,300,1732
381895,TRUE,,1,13/07/17 11:55,0,13/07/17 11:29,Transitime,2,2,6497,278259,2512,12:30:57,0,30/12/99,Err:502,-3709106943
381896,FALSE,,1,13/07/17 11:54,0,13/07/17 11:25,Transitime,2,2,514,278260,2906,12:34:57,0,30/12/99,Err:502,-3709106703
381897,FALSE,,1,13/07/17 11:55,0,13/07/17 11:29,Transitime,2,2,514,278260,2906,12:30:57,0,30/12/99,Err:502,-3709106943
382066,TRUE,13/07/17 12:13,0,13/07/17 12:05,454269,13/07/17 11:41,Transitime,2,2,430,278213,1522,00:31:11,8,13/07/17,300,1871
382067,FALSE,13/07/17 12:13,0,13/07/17 12:09,184420,13/07/17 12:02,Transitime,2,2,430,278213,1522,00:10:26,3,13/07/17,300,626
382068,TRUE,13/07/17 12:12,0,13/07/17 12:05,438748,13/07/17 11:41,Transitime,2,2,427,278213,1522,00:30:37,7,13/07/17,300,1837
382333,FALSE,13/07/17 12:12,1,13/07/17 12:11,40588,13/07/17 11:41,Transitime,2,2,541,278260,1518,00:30:28,1,13/07/17,300,1828
382510,TRUE,13/07/17 12:14,0,13/07/17 12:06,492967,13/07/17 11:41,Transitime,2,2,431,278213,1522,00:32:32,8,13/07/17,300,1952
