shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
13333,-23.53316463085982,-70.39553063472334,59,359669043.34179735
13333,-23.533042600254717,-70.39541654845408,60,365977927.55516654
13333,-23.532746239742735,-70.39527394061759,61,372286767.6372126
13333,-23.53262420874968,-70.39368624003703,62,378595618.4831352
13333,-23.53264710539761,-70.3936490920762,63,384904384.4116771
13333,-23.532991574034813,-70.39351665469854,64,391213092.0723483
13333,-23.533605916913107,-70.39349609625498,65,397521771.13659704
13333,-23.534328773107767,-70.39342433226864,66,403830378.7777143
13333,-23.538106775237203,-70.393049258367,67,410138881.6599944
13333,-23.539475202142476,-70.39303024398879,68,416447112.5200092
13333,-23.539806411610183,-70.39295418647589,69,422754851.3089566
13333,-23.54011147222397,-70.39274502831563,70,429062418.82773286
13333,-23.540416532130223,-70.39268798518106,71,435369918.1845955
13333,-23.5410440817124,-70.3925643917226,72,441677357.7384044
13333,-23.5424996365765,-70.39231720480598,73,447984725.3029551
13333,-23.543336355433446,-70.39226966886048,74,454291937.9795777
13333,-23.544059764320536,-70.39224114729313,75,460598940.4734958
13333,-23.544478119451057,-70.39220311853671,76,466905815.72590727
13333,-23.544774453529815,-70.39239326231876,77,473212589.39161044
13333,-23.545013592464073,-70.39257703771437,78,479519316.6481378
13333,-23.545306110055957,-70.39258625130492,79,485826022.68265235
13333,-23.545509300272453,-70.39243041027964,80,492132698.40571487
13333,-23.545654736119346,-70.39212706102387,81,498439322.1596222
13333,-23.545820333175655,-70.39193691724176,82,504745888.34530634
13333,-23.546256113905997,-70.3918228309725,83,511052404.4628723
13333,-23.546831342258535,-70.39174677345966,84,517358867.160606
13333,-23.54762845668328,-70.39163668393797,85,523665246.7685816
13333,-23.548347248344687,-70.39162119689234,86,529971517.5586427
13333,-23.54869645930411,-70.39161367281218,87,536277663.947943
13333,-23.549932674186774,-70.39156090004963,88,542583715.0210465
13333,-23.55117376032995,-70.39150791933798,89,548889670.511251
13333,-23.551244547880696,-70.39191055598155,90,555195430.5879722
13333,-23.55129741804845,-70.39233102519182,91,561501078.2992672
13333,-23.551424363217276,-70.39267847799192,92,567806764.0943547
13333,-23.55145922424281,-70.39303975117798,93,574112482.1715615
13333,-23.551486424530864,-70.39361910251631,94,580418226.2062432
13333,-23.551477182018907,-70.3953350033504,95,586724023.2859325
13333,-23.55148862660574,-70.39581752120642,96,593029968.6853771
13333,-23.552829683436595,-70.3957959552227,97,599336023.536172
13333,-23.55365580409363,-70.39575874988253,98,605642038.7868651
13333,-23.55470997424343,-70.39568559495308,99,611947867.3421863
13333,-23.554901229981848,-70.39560028330231,100,618253552.8305991
13333,-23.555180585543585,-70.39558767785797,101,624559104.649226
13333,-23.55554770119299,-70.39551907234443,102,630864618.8700798
13333,-23.55605066635571,-70.39545092099985,103,637170081.0316927
13333,-23.55631117069107,-70.3954156228877,104,643475473.2909706
13333,-23.556564357280486,-70.39538905287924,105,649780793.5025587
13333,-23.55701398227904,-70.39534186815263,106,656086070.7262585
13333,-23.558616426037325,-70.39517593274115,107,662391296.2171905
13333,-23.559395827384314,-70.39510536281921,108,668696389.3845167
13333,-23.558820123923113,-70.39780745971467,109,675001260.4453906
13333,-23.558747677372033,-70.39834740508525,110,681306265.9178817
13333,-23.55880542274165,-70.3990641702677,111,687611493.2340115
13333,-23.559189958120573,-70.3997488907005,112,693916801.8515617
13333,-23.559924877839265,-70.3993338947451,113,700222168.6594299
13333,-23.56082235891901,-70.39881287297152,114,706527460.4714229
13333,-23.561813316420498,-70.39865359954496,115,712832576.8811785
13333,-23.56268621468754,-70.39857058644856,116,719137518.0385791
13333,-23.562578431722578,-70.39630644799166,117,725442299.7937031
13333,-23.562435111109977,-70.3950212661099,118,731746820.0691725
13333,-23.56241386793576,-70.39472909485323,119,738051166.9681596
13333,-23.562451453885192,-70.39425628700349,120,744355454.0701764
