vehicleId,time,timeProcessed,latitude,longitude,speed,heading,assignmentId,assignmentType
18003,2018-05-30 16:15:06 GMT-04:00,2018-05-30 16:15:12 GMT-04:00,-23.5271,-70.3985,24,139,195_0_9,TRIP_ID
18003,2018-05-30 16:15:09 GMT-04:00,2018-05-30 16:15:12 GMT-04:00,-23.5273,-70.3984,23,162,195_0_9,TRIP_ID
18003,2018-05-30 16:15:13 GMT-04:00,2018-05-30 16:15:16 GMT-04:00,-23.5275,-70.3982,25,134,195_0_9,TRIP_ID
18003,2018-05-30 16:15:38 GMT-04:00,2018-05-30 16:15:47 GMT-04:00,-23.528,-70.3974,14,173,195_0_9,TRIP_ID
18003,2018-05-30 16:15:40 GMT-04:00,2018-05-30 16:15:48 GMT-04:00,-23.5281,-70.3974,17,202,195_0_9,TRIP_ID
18003,2018-05-30 16:16:10 GMT-04:00,2018-05-30 16:16:14 GMT-04:00,-23.5301,-70.3986,11,206,195_0_9,TRIP_ID
18003,2018-05-30 16:16:24 GMT-04:00,2018-05-30 16:16:29 GMT-04:00,-23.5302,-70.3986,14,167,195_0_9,TRIP_ID
18003,2018-05-30 16:16:27 GMT-04:00,2018-05-30 16:16:29 GMT-04:00,-23.5303,-70.3986,13,139,195_0_9,TRIP_ID
18003,2018-05-30 16:16:44 GMT-04:00,2018-05-30 16:16:50 GMT-04:00,-23.5312,-70.3979,41,165,195_0_9,TRIP_ID
18003,2018-05-30 16:17:07 GMT-04:00,2018-05-30 16:17:11 GMT-04:00,-23.5326,-70.3978,9,186,195_0_9,TRIP_ID
18003,2018-05-30 16:17:17 GMT-04:00,2018-05-30 16:17:19 GMT-04:00,-23.533,-70.3978,15,144,195_0_9,TRIP_ID
18003,2018-05-30 16:17:19 GMT-04:00,2018-05-30 16:17:25 GMT-04:00,-23.533,-70.3978,16,91,195_0_9,TRIP_ID
18003,2018-05-30 16:17:34 GMT-04:00,2018-05-30 16:17:40 GMT-04:00,-23.533,-70.3972,16,139,195_0_9,TRIP_ID
18003,2018-05-30 16:17:42 GMT-04:00,2018-05-30 16:17:44 GMT-04:00,-23.5333,-70.3969,31,98,195_0_9,TRIP_ID
18003,2018-05-30 16:17:54 GMT-04:00,2018-05-30 16:17:59 GMT-04:00,-23.5332,-70.3958,35,68,195_0_9,TRIP_ID
18003,2018-05-30 16:17:57 GMT-04:00,2018-05-30 16:18:00 GMT-04:00,-23.5331,-70.3955,30,37,195_0_9,TRIP_ID
18003,2018-05-30 16:18:04 GMT-04:00,2018-05-30 16:18:09 GMT-04:00,-23.5328,-70.3952,22,83,195_0_9,TRIP_ID
18003,2018-05-30 16:18:34 GMT-04:00,2018-05-30 16:18:38 GMT-04:00,-23.5327,-70.3948,21,85,195_0_9,TRIP_ID
18003,2018-05-30 16:18:52 GMT-04:00,2018-05-30 16:18:56 GMT-04:00,-23.5326,-70.3936,14,129,195_0_9,TRIP_ID
18003,2018-05-30 16:18:54 GMT-04:00,2018-05-30 16:18:59 GMT-04:00,-23.5327,-70.3936,20,172,195_0_9,TRIP_ID
18003,2018-05-30 16:19:14 GMT-04:00,2018-05-30 16:19:18 GMT-04:00,-23.5347,-70.3934,63,174,195_0_9,TRIP_ID
18003,2018-05-30 16:19:24 GMT-04:00,2018-05-30 16:19:32 GMT-04:00,-23.5363,-70.3932,64,174,195_0_9,TRIP_ID
18003,2018-05-30 16:19:33 GMT-04:00,2018-05-30 16:19:35 GMT-04:00,-23.5377,-70.3931,60,175,195_0_9,TRIP_ID
18003,2018-05-30 16:19:49 GMT-04:00,2018-05-30 16:16:55 GMT-04:00,-23.5398,-70.3929,33,137,195_0_9,TRIP_ID
18003,2018-05-30 16:19:54 GMT-04:00,2018-05-30 16:16:56 GMT-04:00,-23.5402,-70.3927,33,171,195_0_9,TRIP_ID
18003,2018-05-30 16:16:24 GMT-04:00,2018-05-30 16:16:58 GMT-04:00,-23.544,-70.3922,47,174,195_0_9,TRIP_ID
18003,2018-05-30 16:16:29 GMT-04:00,2018-05-30 16:16:58 GMT-04:00,-23.5445,-70.3922,26,204,195_0_9,TRIP_ID
18003,2018-05-30 16:16:40 GMT-04:00,2018-05-30 16:16:59 GMT-04:00,-23.5451,-70.3926,31,173,195_0_9,TRIP_ID
18003,2018-05-30 16:16:43 GMT-04:00,2018-05-30 16:21:00 GMT-04:00,-23.5453,-70.3926,30,137,195_0_9,TRIP_ID
18003,2018-05-30 16:16:46 GMT-04:00,2018-05-30 16:21:01 GMT-04:00,-23.5455,-70.3924,28,111,195_0_9,TRIP_ID
18003,2018-05-30 16:16:52 GMT-04:00,2018-05-30 16:21:02 GMT-04:00,-23.5457,-70.392,27,144,195_0_9,TRIP_ID
18003,2018-05-30 16:16:55 GMT-04:00,2018-05-30 16:21:03 GMT-04:00,-23.5459,-70.3919,31,170,195_0_9,TRIP_ID
18003,2018-05-30 16:21:24 GMT-04:00,2018-05-30 16:21:30 GMT-04:00,-23.5482,-70.3916,17,177,195_0_9,TRIP_ID
18003,2018-05-30 16:21:54 GMT-04:00,2018-05-30 16:21:59 GMT-04:00,-23.5497,-70.3915,48,178,195_0_9,TRIP_ID
18003,2018-05-30 16:22:08 GMT-04:00,2018-05-30 16:22:14 GMT-04:00,-23.5511,-70.3915,17,225,195_0_9,TRIP_ID
18003,2018-05-30 16:22:10 GMT-04:00,2018-05-30 16:22:14 GMT-04:00,-23.5512,-70.3916,22,260,195_0_9,TRIP_ID
18003,2018-05-30 16:22:27 GMT-04:00,2018-05-30 16:22:32 GMT-04:00,-23.5515,-70.393,31,281,195_0_9,TRIP_ID
18003,2018-05-30 16:22:57 GMT-04:00,2018-05-30 16:23:04 GMT-04:00,-23.5515,-70.3954,6,269,195_0_9,TRIP_ID
18003,2018-05-30 16:23:07 GMT-04:00,2018-05-30 16:23:10 GMT-04:00,-23.5515,-70.3957,10,250,195_0_9,TRIP_ID
18003,2018-05-30 16:23:10 GMT-04:00,2018-05-30 16:23:13 GMT-04:00,-23.5516,-70.3958,14,198,195_0_9,TRIP_ID
18003,2018-05-30 16:23:12 GMT-04:00,2018-05-30 16:23:15 GMT-04:00,-23.5516,-70.3958,21,175,195_0_9,TRIP_ID
18003,2018-05-30 16:23:42 GMT-04:00,2018-05-30 16:23:49 GMT-04:00,-23.5533,-70.3958,9,177,195_0_9,TRIP_ID
18003,2018-05-30 16:24:12 GMT-04:00,2018-05-30 16:24:20 GMT-04:00,-23.5549,-70.3956,5,159,195_0_9,TRIP_ID
18003,2018-05-30 16:24:42 GMT-04:00,2018-05-30 16:24:48 GMT-04:00,-23.5561,-70.3954,34,177,195_0_9,TRIP_ID
18003,2018-05-30 16:25:01 GMT-04:00,2018-05-30 16:25:06 GMT-04:00,-23.5572,-70.3954,10,221,195_0_9,TRIP_ID
18003,2018-05-30 16:25:03 GMT-04:00,2018-05-30 16:25:07 GMT-04:00,-23.5572,-70.3954,13,266,195_0_9,TRIP_ID
18003,2018-05-30 16:25:06 GMT-04:00,2018-05-30 16:25:09 GMT-04:00,-23.5572,-70.3955,14,287,195_0_9,TRIP_ID
18003,2018-05-30 16:25:36 GMT-04:00,2018-05-30 16:25:40 GMT-04:00,-23.5567,-70.3976,6,284,195_0_9,TRIP_ID
18003,2018-05-30 16:25:57 GMT-04:00,2018-05-30 16:26:07 GMT-04:00,-23.5567,-70.3977,10,257,195_0_9,TRIP_ID
18003,2018-05-30 16:26:00 GMT-04:00,2018-05-30 16:26:12 GMT-04:00,-23.5568,-70.3978,16,204,195_0_9,TRIP_ID
18003,2018-05-30 16:26:12 GMT-04:00,2018-05-30 16:26:20 GMT-04:00,-23.5574,-70.3979,34,184,195_0_9,TRIP_ID
18003,2018-05-30 16:26:37 GMT-04:00,2018-05-30 16:26:42 GMT-04:00,-23.5588,-70.3979,12,227,195_0_9,TRIP_ID
18003,2018-05-30 16:26:39 GMT-04:00,2018-05-30 16:26:43 GMT-04:00,-23.5588,-70.3979,16,268,195_0_9,TRIP_ID
18003,2018-05-30 16:26:54 GMT-04:00,2018-05-30 16:26:58 GMT-04:00,-23.5589,-70.3992,34,244,195_0_9,TRIP_ID
18003,2018-05-30 16:27:04 GMT-04:00,2018-05-30 16:27:08 GMT-04:00,-23.5592,-70.3997,12,181,195_0_9,TRIP_ID
18003,2018-05-30 16:27:06 GMT-04:00,2018-05-30 16:27:09 GMT-04:00,-23.5592,-70.3997,11,150,195_0_9,TRIP_ID
18003,2018-05-30 16:27:28 GMT-04:00,2018-05-30 16:27:33 GMT-04:00,-23.5609,-70.3988,14,182,195_0_9,TRIP_ID
18003,2018-05-30 16:27:58 GMT-04:00,2018-05-30 16:28:02 GMT-04:00,-23.5625,-70.3986,15,175,195_0_9,TRIP_ID
18003,2018-05-30 16:28:06 GMT-04:00,2018-05-30 16:28:09 GMT-04:00,-23.5627,-70.3986,15,147,195_0_9,TRIP_ID
18003,2018-05-30 16:28:08 GMT-04:00,2018-05-30 16:28:11 GMT-04:00,-23.5627,-70.3985,17,112,195_0_9,TRIP_ID
18003,2018-05-30 16:28:11 GMT-04:00,2018-05-30 16:28:14 GMT-04:00,-23.5628,-70.3984,23,83,195_0_9,TRIP_ID
18003,2018-05-30 16:28:41 GMT-04:00,2018-05-30 16:28:49 GMT-04:00,-23.5625,-70.3951,12,84,195_0_9,TRIP_ID
18003,2018-05-30 16:29:11 GMT-04:00,2018-05-30 16:29:16 GMT-04:00,-23.5625,-70.3943,0,0,195_0_9,TRIP_ID
18003,2018-05-30 16:29:41 GMT-04:00,2018-05-30 16:29:47 GMT-04:00,-23.5624,-70.393,38,87,195_0_9,TRIP_ID
18003,2018-05-30 16:30:11 GMT-04:00,2018-05-30 16:30:16 GMT-04:00,-23.5623,-70.3912,8,115,195_0_9,TRIP_ID
18003,2018-05-30 16:30:12 GMT-04:00,2018-05-30 16:30:17 GMT-04:00,-23.5624,-70.3912,13,137,195_0_9,TRIP_ID
18003,2018-05-30 16:30:15 GMT-04:00,2018-05-30 16:30:17 GMT-04:00,-23.5624,-70.3911,24,178,195_0_9,TRIP_ID
